mpid,question,answer
4,"Tripath Vietnam Co., Ltd. yêu cầu những kỹ năng nào ?","Tripath Vietnam Co., Ltd. đang tuyển dụng những kỹ năng: Back-End, Front-End, Java, VueJS"
4,Trung Tâm Công nghệ thông tin Mobifone yêu cầu những kỹ năng nào ?,"Trung Tâm Công nghệ thông tin Mobifone đang tuyển dụng những kỹ năng: JavaScript, C, Objective-C, Swift, NodeJS, IT Support, Mobile, IT Helpdesk, C++, Java, PHP"
4,Tập Đoàn Belief Holdings yêu cầu những kỹ năng nào ?,"Tập Đoàn Belief Holdings đang tuyển dụng những kỹ năng: UI Design, UX, Agile, Business Analyst"
4,Tổng công ty Cổ phần Bảo hiểm Bưu điện (PTI) yêu cầu những kỹ năng nào ?,"Tổng công ty Cổ phần Bảo hiểm Bưu điện (PTI) đang tuyển dụng những kỹ năng: Web, Illustrator, Flash, Photoshop"
4,UniBiz yêu cầu những kỹ năng nào ?,"UniBiz đang tuyển dụng những kỹ năng: Mobile, Android, iOS, Flutter"
4,Uniccs Việt Nam yêu cầu những kỹ năng nào ?,"Uniccs Việt Nam đang tuyển dụng những kỹ năng: JavaScript, Web, SQL, Full-Stack, JQuery"
4,V-KEY yêu cầu những kỹ năng nào ?,"V-KEY đang tuyển dụng những kỹ năng: Android, Microsoft Dynamics"
4,VEriKSystems yêu cầu những kỹ năng nào ?,"VEriKSystems đang tuyển dụng những kỹ năng: AR, VR, IoT Development"
4,VINATTI yêu cầu những kỹ năng nào ?,"VINATTI đang tuyển dụng những kỹ năng: ASP.NET, C#, Business Analyst, .NET"
4,VINCERE yêu cầu những kỹ năng nào ?,"VINCERE đang tuyển dụng những kỹ năng: PostgreSQL, Spring, Kafka, REST API, Agile, MySQL, Java, Web Application"
4,VITALIFY ASIA ( Công ty TNHH Vitalify Á Châu) yêu cầu những kỹ năng nào ?,"VITALIFY ASIA ( Công ty TNHH Vitalify Á Châu) đang tuyển dụng những kỹ năng: JavaScript, API, VueJS, .NET, NodeJS, C#, Front-End, NextJS, Back-End, GraphQL, Unity"
4,VOIP24H yêu cầu những kỹ năng nào ?,"VOIP24H đang tuyển dụng những kỹ năng: Mobile, iOS, Objective-C, Swift"
4,VTC Telecom yêu cầu những kỹ năng nào ?,"VTC Telecom đang tuyển dụng những kỹ năng: AR, API, C#, VR, SQL Server, Illustrator, ASP.NET MVC, Photoshop"
4,Versehub yêu cầu những kỹ năng nào ?,"Versehub đang tuyển dụng những kỹ năng: Front-End, Back-End, Java, TypeScript, ReactJS, CSS"
4,VietMobi yêu cầu những kỹ năng nào ?,"VietMobi đang tuyển dụng những kỹ năng: Mobile, Android"
4,"Vietec.,Corp yêu cầu những kỹ năng nào ?","Vietec.,Corp đang tuyển dụng những kỹ năng: Mobile, Android, iOS, React Native"
4,Viettel Solutions yêu cầu những kỹ năng nào ?,"Viettel Solutions đang tuyển dụng những kỹ năng: JavaScript, Python, iOS, C, Machine Learning, Android, C++, Business Analyst, Java, ReactJS, Microsoft"
4,WeAI Technology & Education yêu cầu những kỹ năng nào ?,"WeAI Technology & Education đang tuyển dụng những kỹ năng: Mobile, Manual Test, Mobile Tester, QC, Web Tester"
4,WeatherPlus yêu cầu những kỹ năng nào ?,"WeatherPlus đang tuyển dụng những kỹ năng: MongoDB, Redis, REST API, OOP, Java, My SQL"
4,Whammy Tech yêu cầu những kỹ năng nào ?,"Whammy Tech đang tuyển dụng những kỹ năng: API, JavaScript, MongoDB, NodeJS, HTML5, UI Design, REST API, JSON, Flutter, Mobile, UX, ReactJS, CSS"
4,Wise Commerce yêu cầu những kỹ năng nào ?,"Wise Commerce đang tuyển dụng những kỹ năng: Korean, Project Manager, Technical Support, UX, UI Design, Photoshop"
4,Woss Corporation yêu cầu những kỹ năng nào ?,"Woss Corporation đang tuyển dụng những kỹ năng: JavaScript, Zend, NodeJS, REST API, Full-Stack, Laravel, ReactJS, PHP"
4,Würth Industry Service (Vietnam) yêu cầu những kỹ năng nào ?,"Würth Industry Service (Vietnam) đang tuyển dụng những kỹ năng: C, .NET, C++, Java, RPA using UiPath"
4,XPERC yêu cầu những kỹ năng nào ?,XPERC đang tuyển dụng những kỹ năng: Java
4,YAN Digital yêu cầu những kỹ năng nào ?,"YAN Digital đang tuyển dụng những kỹ năng: Mobile, iOS, Objective-C, Swift"
4,YODY Fashion yêu cầu những kỹ năng nào ?,"YODY Fashion đang tuyển dụng những kỹ năng: JavaScript, Java Spring Boot, Spring, Scrum Master, Agile & Scrum, HTML5, Flutter, Mobile, Java, Scrum, ReactJS, Git"
4,YOJEE OPS VIETNAM COMPANY LIMITED yêu cầu những kỹ năng nào ?,"YOJEE OPS VIETNAM COMPANY LIMITED đang tuyển dụng những kỹ năng: Golang, Elixir - Rails, Ruby"
4,YRGLM Vietnam yêu cầu những kỹ năng nào ?,"YRGLM Vietnam đang tuyển dụng những kỹ năng: Python, ReactJS, Java"
4,Yes4All Trading Services Company Limited yêu cầu những kỹ năng nào ?,"Yes4All Trading Services Company Limited đang tuyển dụng những kỹ năng: JavaScript, Spring, Project Manager, AngularJS, Full-Stack, Business Analyst, Java, ReactJS"
4,YouNet Group yêu cầu những kỹ năng nào ?,"YouNet Group đang tuyển dụng những kỹ năng: Linux, NodeJS, REST API, NoSQL, MySQL, OOP, Back-End, Full-Stack, ReactJS, Git"
4,ZOI.TECH SGN yêu cầu những kỹ năng nào ?,"ZOI.TECH SGN đang tuyển dụng những kỹ năng: DevOps, AWS, .NET, IoT Development, IT Security, HTML, Azure, Data Engineer, Technical Leader, R, QA, React Native, QC, CSS, Angular 2, System Admin, Tester, Python, VueJS, C#, .NET Core, Software Architect, ReactJS, JavaScript, NodeJS, Full-Stack, Redux, TypeScript"
4,bravesoft Vietnam yêu cầu những kỹ năng nào ?,"bravesoft Vietnam đang tuyển dụng những kỹ năng: Python, Ruby on Rails, NestJS"
4,eKGIS yêu cầu những kỹ năng nào ?,"eKGIS đang tuyển dụng những kỹ năng: JavaScript, MongoDB, Bootstrap, HTML5, C#, REST API, CSS3, TypeScript, React Native, JQuery, Angular"
4,iTD Group yêu cầu những kỹ năng nào ?,"iTD Group đang tuyển dụng những kỹ năng: Solidity, Blockchain, Commucation, HTML5, Back-End, ES6, VueJS, React, HTML & CSS, JSON, CSS3, SCSS, Angular, JavaScript, System, NodeJS, Agile & Scrum, Business Analyst, Database"
4,jK Technologies yêu cầu những kỹ năng nào ?,"jK Technologies đang tuyển dụng những kỹ năng: JavaScript, Bootstrap, HTML5, CSS3, TypeScript"
4,myG yêu cầu những kỹ năng nào ?,"myG đang tuyển dụng những kỹ năng: C#, PHP"
4,100Man tuyển dụng những kỹ năng nào ?,"100Man đang tuyển dụng những kỹ năng: NodeJS, Back-End"
4,2359 Media tuyển dụng những kỹ năng nào ?,"2359 Media đang tuyển dụng những kỹ năng: API, .NET, HTML5, Front-End, REST API, JSON, Android, CSS3, Java, Kotlin"
4,905 Việt Nam tuyển dụng những kỹ năng nào ?,"905 Việt Nam đang tuyển dụng những kỹ năng: JavaScript, Front-End, HTML, CSS"
4,ABHORIZON tuyển dụng những kỹ năng nào ?,"ABHORIZON đang tuyển dụng những kỹ năng: JavaScript, PHP, CSS, HTML"
4,AIA Vietnam tuyển dụng những kỹ năng nào ?,"AIA Vietnam đang tuyển dụng những kỹ năng: JavaScript, Full-Stack, .NET, Java"
4,ANTSOMI tuyển dụng những kỹ năng nào ?,"ANTSOMI đang tuyển dụng những kỹ năng: JavaScript, Data Engineer, Scala, QC, NodeJS, Manual Tester, Full-Stack, Java, Automation Tester, ReactJS, PHP"
4,ARTISTSWORLD tuyển dụng những kỹ năng nào ?,"ARTISTSWORLD đang tuyển dụng những kỹ năng: JavaScript, C#, C++, PHP"
4,ARTSTUFF tuyển dụng những kỹ năng nào ?,"ARTSTUFF đang tuyển dụng những kỹ năng: JavaScript, Front-End, SCSS, HTML"
4,ASIM TELECOM tuyển dụng những kỹ năng nào ?,"ASIM TELECOM đang tuyển dụng những kỹ năng: Tester, NodeJS, Manual Tester, Flutter, Mobile, Back-End, QC, NestJS"
4,ATZINE tuyển dụng những kỹ năng nào ?,"ATZINE đang tuyển dụng những kỹ năng: Spring Boot, Java"
4,Advesa Digital Solutions tuyển dụng những kỹ năng nào ?,"Advesa Digital Solutions đang tuyển dụng những kỹ năng: Product Design, Tester, UX, Manual Test, UI Design, QC, QA"
4,AgeCode tuyển dụng những kỹ năng nào ?,"AgeCode đang tuyển dụng những kỹ năng: NodeJS, Back-End, Ruby, Java, Golang, PHP"
4,Ahamove tuyển dụng những kỹ năng nào ?,"Ahamove đang tuyển dụng những kỹ năng: Python, .NET, NodeJS, Back-End, Java, Golang, PHP"
4,Alomora J.S.C tuyển dụng những kỹ năng nào ?,"Alomora J.S.C đang tuyển dụng những kỹ năng: JavaScript, NodeJS, C#, Full-Stack, Java, Unity, Unity3d, ReactJS, Unity2D, Game"
4,AnySES tuyển dụng những kỹ năng nào ?,"AnySES đang tuyển dụng những kỹ năng: CakePHP, Laravel, Symfony, CRM, PHP"
4,Apero tuyển dụng những kỹ năng nào ?,"Apero đang tuyển dụng những kỹ năng: Web, Android, Design Patterns, Cloud"
4,Applancer JSC - TopDev tuyển dụng những kỹ năng nào ?,"Applancer JSC - TopDev đang tuyển dụng những kỹ năng: UI Design, Product Manager, UX, Business Analyst"
4,Away Digital Teams tuyển dụng những kỹ năng nào ?,"Away Digital Teams đang tuyển dụng những kỹ năng: AWS, NodeJS, English Skills, Mobile, React Native, English - Good"
4,BEETECH tuyển dụng những kỹ năng nào ?,"BEETECH đang tuyển dụng những kỹ năng: Swift, Spring Boot, CakePHP, Mobile, HTML, WordPress, C++, Java, PHP, CSS, Spring, Project Leader, Kotlin, JavaScript, C, Project Manager, Full-Stack, Android, Laravel"
4,BIN CORPORATION GROUP VIỆT NAM tuyển dụng những kỹ năng nào ?,"BIN CORPORATION GROUP VIỆT NAM đang tuyển dụng những kỹ năng: JavaScript, Linux, Manual Test, AWS, Web, Front-End, MySQL, Ajax, Back-End, Business Analyst, UX, IT Manager, HTML, UI Design, PHP, CSS"
4,BMD Solution tuyển dụng những kỹ năng nào ?,"BMD Solution đang tuyển dụng những kỹ năng: Mobile, React Native"
4,BSS Group tuyển dụng những kỹ năng nào ?,"BSS Group đang tuyển dụng những kỹ năng: Manual Test, Tester, Videos Editor"
4,Beincomm tuyển dụng những kỹ năng nào ?,"Beincomm đang tuyển dụng những kỹ năng: JavaScript, MongoDB, NodeJS, Agile, IT Auditor, MySQL, UX, UI Design"
4,Bkav tuyển dụng những kỹ năng nào ?,"Bkav đang tuyển dụng những kỹ năng: Bootstrap, Spring, .NET, C#, MySQL, ReactJS, Java, React Native, Database, JQuery"
4,Blogic Systems tuyển dụng những kỹ năng nào ?,"Blogic Systems đang tuyển dụng những kỹ năng: HTML, Front-End, CSS3, Angular"
4,BnK Solutions tuyển dụng những kỹ năng nào ?,"BnK Solutions đang tuyển dụng những kỹ năng: JavaScript, TypeScript, Java Spring Boot, Spring, NodeJS, HTML & CSS, Java, Java Core, ReactJS, CSS, NestJS"
4,BrickMate Group tuyển dụng những kỹ năng nào ?,"BrickMate Group đang tuyển dụng những kỹ năng: Spring Boot, MySQL, Nest JS, Golang, HTML5, REST API, ExpressJS, Java, Microsoft, Python, MongoDB, VueJS, Spring, CSS3, Web Service, Angular, Project Manager, NodeJS, React JS, Business Analyst"
4,Báo điện tử Dân Trí tuyển dụng những kỹ năng nào ?,"Báo điện tử Dân Trí đang tuyển dụng những kỹ năng: MS SQL, DevOps, NodeJS, C#, REST API, Design Patterns, Redis, ASP.NET, System Architect, ReactJS"
4,CB/I Digital tuyển dụng những kỹ năng nào ?,"CB/I Digital đang tuyển dụng những kỹ năng: JavaScript, Tester, Python, TypeScript, DevOps, NodeJS, Network, Cloud, Back-End, Business Analyst, UX, Manual Test, UI Design, QC, QA"
4,CLOUDTEAM tuyển dụng những kỹ năng nào ?,"CLOUDTEAM đang tuyển dụng những kỹ năng: JavaScript, Laravel, Business Analyst, PHP"
4,CMC Global tuyển dụng những kỹ năng nào ?,"CMC Global đang tuyển dụng những kỹ năng: iOS, .NET, WebForm, .NET Core, Mobile, Android, ASP.NET, React Native"
4,CNV Loyalty tuyển dụng những kỹ năng nào ?,"CNV Loyalty đang tuyển dụng những kỹ năng: .NET, HTML5, C#, CSS3, ASP.NET"
4,COOLMATE tuyển dụng những kỹ năng nào ?,"COOLMATE đang tuyển dụng những kỹ năng: NodeJS, Back-End, PHP"
4,Canvas.Asia tuyển dụng những kỹ năng nào ?,"Canvas.Asia đang tuyển dụng những kỹ năng: JavaScript, Python, iOS, .NET, Swift, SQL, C#, Mobile, Android, Data Science, Java, Kotlin, PHP"
4,Care Health tuyển dụng những kỹ năng nào ?,"Care Health đang tuyển dụng những kỹ năng: NodeJS, ReactJS, TypeScript, Full-Stack"
4,Cathay Life tuyển dụng những kỹ năng nào ?,"Cathay Life đang tuyển dụng những kỹ năng: JavaScript, Java"
4,Ceres Solutions tuyển dụng những kỹ năng nào ?,"Ceres Solutions đang tuyển dụng những kỹ năng: VueJS, Front-End, Yii, NextJS, AngularJS, MySQL, Laravel, Redux, ReactJS, PHP"
4,Cho Tot tuyển dụng những kỹ năng nào ?,"Cho Tot đang tuyển dụng những kỹ năng: JavaScript, Python, C, Front-End, Back-End, C++, Java, HTML, Golang, CSS"
4,Citynow Technology Solutions tuyển dụng những kỹ năng nào ?,"Citynow Technology Solutions đang tuyển dụng những kỹ năng: DevOps, AWS, Front-End, Manual Test, Golang, Hibernate, Kubernetes, IT Helpdesk, Java, Java Core, Automation Tester, Tester, VueJS, Spring, ReactJS, JavaScript, CD, CI, Business Analyst, TypeScript, Cloud"
4,Code Engine Studio tuyển dụng những kỹ năng nào ?,"Code Engine Studio đang tuyển dụng những kỹ năng: Git, PHP"
4,Creative Force tuyển dụng những kỹ năng nào ?,"Creative Force đang tuyển dụng những kỹ năng: C#, .NET, .NET Core"
4,"CyberLogitec Vietnam Co., Ltd. tuyển dụng những kỹ năng nào ?","CyberLogitec Vietnam Co., Ltd. đang tuyển dụng những kỹ năng: JavaScript, Tester, Spring, Manual Tester, Java, QA, QC"
4,CÔNG TY CỔ PHẦN BBOLD tuyển dụng những kỹ năng nào ?,"CÔNG TY CỔ PHẦN BBOLD đang tuyển dụng những kỹ năng: Unity, Game"
4,CÔNG TY CỔ PHẦN CELEBE VIỆT NAM tuyển dụng những kỹ năng nào ?,"CÔNG TY CỔ PHẦN CELEBE VIỆT NAM đang tuyển dụng những kỹ năng: Mobile, iOS, Swift"
4,CÔNG TY CỔ PHẦN CHỨNG KHOÁN VPBANK tuyển dụng những kỹ năng nào ?,"CÔNG TY CỔ PHẦN CHỨNG KHOÁN VPBANK đang tuyển dụng những kỹ năng: MongoDB, PostgreSQL, Spring, Spring Boot, Kafka, Oracle, Back-End, Java Core, Microsoft"
4,CÔNG TY CỔ PHẦN CODIGNIFY tuyển dụng những kỹ năng nào ?,"CÔNG TY CỔ PHẦN CODIGNIFY đang tuyển dụng những kỹ năng: Python, Django"
4,CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS tuyển dụng những kỹ năng nào ?,"CÔNG TY CỔ PHẦN CÔNG NGHỆ & SÁNG TẠO TRẺ TEKY HOLDINGS đang tuyển dụng những kỹ năng: Python, Odoo, Django, Back-End"
4,CÔNG TY CỔ PHẦN CÔNG NGHỆ FRACTAL tuyển dụng những kỹ năng nào ?,"CÔNG TY CỔ PHẦN CÔNG NGHỆ FRACTAL đang tuyển dụng những kỹ năng: ASP.NET, English, C#, .NET"
4,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ THƯƠNG MẠI ĐIỆN TỬ QUỐC TẾ EBIS tuyển dụng những kỹ năng nào ?,"CÔNG TY CỔ PHẦN DỊCH VỤ VÀ THƯƠNG MẠI ĐIỆN TỬ QUỐC TẾ EBIS đang tuyển dụng những kỹ năng: ASP.NET, Full-Stack, C#, .NET"
4,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN CUCKOOKOO tuyển dụng những kỹ năng nào ?,"CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN CUCKOOKOO đang tuyển dụng những kỹ năng: Design, Photoshop, Java, Unity, UI Design, Graphic Design, Microsoft, Sketch, iOS, Spring, C#, Illustrator, UX, Motion Graphic Design, Unity3d, Unity2D, Kotlin, Project Manager, NodeJS, 3D Artist, J2EE, Android"
4,CÔNG TY CỔ PHẦN TEQIE tuyển dụng những kỹ năng nào ?,"CÔNG TY CỔ PHẦN TEQIE đang tuyển dụng những kỹ năng: Python, JavaScript, AWS, DevOps, NodeJS, React, Docker, Google Cloud Platform - Rollbar, Java, Golang, PHP, Cloud, Kubernetes"
4,CÔNG TY TNHH 9PMP VIỆT NAM tuyển dụng những kỹ năng nào ?,"CÔNG TY TNHH 9PMP VIỆT NAM đang tuyển dụng những kỹ năng: C#, ASP.NET MVC, .NET, Software"
4,CÔNG TY TNHH CAN LAB VN tuyển dụng những kỹ năng nào ?,"CÔNG TY TNHH CAN LAB VN đang tuyển dụng những kỹ năng: JavaScript, VueJS, Front-End, NextJS, ReactJS, TypeScript, AngularJS"
4,CÔNG TY TNHH CUNG CẤP GIẢI PHÁP DỊCH VỤ GIÁ TRỊ GIA TĂNG (VIVAS) tuyển dụng những kỹ năng nào ?,"CÔNG TY TNHH CUNG CẤP GIẢI PHÁP DỊCH VỤ GIÁ TRỊ GIA TĂNG (VIVAS) đang tuyển dụng những kỹ năng: Linux, C++, C, Unix"
4,CÔNG TY TNHH ESUHAI tuyển dụng những kỹ năng nào ?,"CÔNG TY TNHH ESUHAI đang tuyển dụng những kỹ năng: JavaScript, Bootstrap, .NET, UI Design, C#, SQL Server, HTML & CSS, IT Auditor, Illustrator, UX, Database, Photoshop"
4,CÔNG TY TNHH GÓC CỦA TIN - TINCORNER tuyển dụng những kỹ năng nào ?,"CÔNG TY TNHH GÓC CỦA TIN - TINCORNER đang tuyển dụng những kỹ năng: JavaScript, PHP"
4,CÔNG TY TNHH LOVEPOP VIỆT NAM tuyển dụng những kỹ năng nào ?,"CÔNG TY TNHH LOVEPOP VIỆT NAM đang tuyển dụng những kỹ năng: System, ERP, Oracle, English - Good, SAP"
4,CÔNG TY TNHH MITEK VIỆT NAM tuyển dụng những kỹ năng nào ?,"CÔNG TY TNHH MITEK VIỆT NAM đang tuyển dụng những kỹ năng: JavaScript, C, .NET, C#, Front-End, C++, Angular"
4,CÔNG TY TNHH PERSOL PROCESS & TECHNOLOGY VIỆT NAM tuyển dụng những kỹ năng nào ?,"CÔNG TY TNHH PERSOL PROCESS & TECHNOLOGY VIỆT NAM đang tuyển dụng những kỹ năng: OOP, C#, .NET"
4,CÔNG TY TNHH POSCO ICT VIỆT NAM tuyển dụng những kỹ năng nào ?,"CÔNG TY TNHH POSCO ICT VIỆT NAM đang tuyển dụng những kỹ năng: Full-Stack, Angular, .NET Core"
4,CÔNG TY TNHH TEQNOLOGICAL ASIA tuyển dụng những kỹ năng nào ?,"CÔNG TY TNHH TEQNOLOGICAL ASIA đang tuyển dụng những kỹ năng: Tester, QC, Fintech, Manual Tester, Japanese, QA, Microsoft Dynamics"
4,CÔNG TY TNHH VINA PAYROLL OUTSOURCING tuyển dụng những kỹ năng nào ?,"CÔNG TY TNHH VINA PAYROLL OUTSOURCING đang tuyển dụng những kỹ năng: API, Back-End, PHP, Laravel"
4,Công Nghệ VMAX tuyển dụng những kỹ năng nào ?,"Công Nghệ VMAX đang tuyển dụng những kỹ năng: JavaScript, Bootstrap, Front-End, HTML, CSS"
4,Công Ty CP Dược Phẩm Pharmacity tuyển dụng những kỹ năng nào ?,"Công Ty CP Dược Phẩm Pharmacity đang tuyển dụng những kỹ năng: Data Warehouse, Linux, DevOps, CD, AWS, Web, SQL, Front-End, CI, UI Design, Mobile, UX, Apache, React Native, Database, Azure"
4,Công Ty Cổ Phần Phát Hành Sách TP Hồ Chí Minh - FAHASA tuyển dụng những kỹ năng nào ?,"Công Ty Cổ Phần Phát Hành Sách TP Hồ Chí Minh - FAHASA đang tuyển dụng những kỹ năng: NodeJS, MySQL, REST API, Java"
4,Công Ty Cổ Phần Torus Engineering tuyển dụng những kỹ năng nào ?,"Công Ty Cổ Phần Torus Engineering đang tuyển dụng những kỹ năng: API, .NET, React, Oop, C#, Net Framwork, ASP.NET, Typescript"
4,Công Ty TNHH Groot tuyển dụng những kỹ năng nào ?,"Công Ty TNHH Groot đang tuyển dụng những kỹ năng: Linux, MariaDB, Kafka, Docker, Unix, Redis, Ansible"
4,Công ty CP CQ TDT Asia tuyển dụng những kỹ năng nào ?,"Công ty CP CQ TDT Asia đang tuyển dụng những kỹ năng: iOS, Spring, Test Design, Objective-C, Swift, Spring Boot, Mobile, Android, Back-End, Java, Java Core, Automation Tester, Kotlin"
4,Công ty Cổ Phần Công Nghệ Điện Tử & Viễn Thông Việt Nam (VNETGPS) tuyển dụng những kỹ năng nào ?,Công ty Cổ Phần Công Nghệ Điện Tử & Viễn Thông Việt Nam (VNETGPS) đang tuyển dụng những kỹ năng: Firmware
4,Công ty Cổ Phần Thế Giới Di Động tuyển dụng những kỹ năng nào ?,"Công ty Cổ Phần Thế Giới Di Động đang tuyển dụng những kỹ năng: Front-End, REST API, Flutter, .NET Core, Mobile, Back-End, ReactJS, ASP.NET Core"
4,Công ty Cổ phần Chứng khoán KS (KS Securities – KSS) tuyển dụng những kỹ năng nào ?,"Công ty Cổ phần Chứng khoán KS (KS Securities – KSS) đang tuyển dụng những kỹ năng: Android, iOS, Flutter"
4,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh (HSC) tuyển dụng những kỹ năng nào ?,"Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh (HSC) đang tuyển dụng những kỹ năng: JavaScript, Tester, Front-End, HTML, Automation Tester, CSS"
4,Công ty Cổ phần Công Nghệ Vũ Thảo tuyển dụng những kỹ năng nào ?,"Công ty Cổ phần Công Nghệ Vũ Thảo đang tuyển dụng những kỹ năng: JavaScript, Tester, .NET, SQL, C#, IT Support, ASP.NET, ReactJS"
4,Công ty Cổ phần Công nghệ DNG tuyển dụng những kỹ năng nào ?,"Công ty Cổ phần Công nghệ DNG đang tuyển dụng những kỹ năng: JavaScript, MySQL, HTML, Git, PHP, CSS"
4,Công ty Cổ phần Công nghệ số Thiên Quang tuyển dụng những kỹ năng nào ?,"Công ty Cổ phần Công nghệ số Thiên Quang đang tuyển dụng những kỹ năng: JavaScript, HTML & CSS, JSON, Ajax, CodeIgniter, JQuery, PHP"
4,Công ty Cổ phần Nhựa Châu Âu tuyển dụng những kỹ năng nào ?,"Công ty Cổ phần Nhựa Châu Âu đang tuyển dụng những kỹ năng: JavaScript, PostgreSQL, Linux, Python, Front-End, MySQL, Full-Stack, Back-End, Windows, System Engineer"
4,Công ty Cổ phần Tập đoàn Lộc Trời tuyển dụng những kỹ năng nào ?,"Công ty Cổ phần Tập đoàn Lộc Trời đang tuyển dụng những kỹ năng: API, Database Administrator"
4,Công ty Cổ phần Tập đoàn Trí Nam tuyển dụng những kỹ năng nào ?,"Công ty Cổ phần Tập đoàn Trí Nam đang tuyển dụng những kỹ năng: .NET, C#, .NET Core, MVC, Microsoft"
4,Công ty TNHH App In Asia Việt Nam tuyển dụng những kỹ năng nào ?,"Công ty TNHH App In Asia Việt Nam đang tuyển dụng những kỹ năng: Cocos2D, C#, OOP, C++, Unity"
4,Công ty TNHH Change Interaction tuyển dụng những kỹ năng nào ?,"Công ty TNHH Change Interaction đang tuyển dụng những kỹ năng: ASP.NET, Back-End, .NET"
4,Công ty TNHH Chứng Khoán ACB (ACBS) tuyển dụng những kỹ năng nào ?,"Công ty TNHH Chứng Khoán ACB (ACBS) đang tuyển dụng những kỹ năng: System Admin, JavaScript, Spring, HTML5, Back-End, CSS3, Java, System Engineer"
4,Công ty TNHH KOUSHIN Việt Nam tuyển dụng những kỹ năng nào ?,"Công ty TNHH KOUSHIN Việt Nam đang tuyển dụng những kỹ năng: C#, .NET"
4,Công ty TNHH MTV Giải Pháp Số TMN tuyển dụng những kỹ năng nào ?,"Công ty TNHH MTV Giải Pháp Số TMN đang tuyển dụng những kỹ năng: .NET, C#, ASP.NET Core, ASP.NET, Angular"
4,Công ty TNHH TM-DV XNK Ecombest tuyển dụng những kỹ năng nào ?,"Công ty TNHH TM-DV XNK Ecombest đang tuyển dụng những kỹ năng: JavaScript, AWS, NodeJS, MySQL, Full-Stack, Java, TypeScript"
4,Công ty TNHH Thị Giác META tuyển dụng những kỹ năng nào ?,"Công ty TNHH Thị Giác META đang tuyển dụng những kỹ năng: Python, MongoDB, VueJS, .NET, NodeJS, C#, Full-Stack, HTML, CSS"
4,Công ty TNHH Tin học VS tuyển dụng những kỹ năng nào ?,"Công ty TNHH Tin học VS đang tuyển dụng những kỹ năng: JavaScript, PostgreSQL, NodeJS, Ajax, MySQL, HTML, JQuery, PHP, CSS"
4,Công ty cổ phần Base Enterprise tuyển dụng những kỹ năng nào ?,"Công ty cổ phần Base Enterprise đang tuyển dụng những kỹ năng: JavaScript, HTML5, REST API, JSON, MySQL, Ajax, CSS3, JQuery"
4,Công ty cổ phần DMSpro tuyển dụng những kỹ năng nào ?,"Công ty cổ phần DMSpro đang tuyển dụng những kỹ năng: ASP.NET, .NET, .NET Core"
4,Công ty cổ phần công nghệ PosApp tuyển dụng những kỹ năng nào ?,"Công ty cổ phần công nghệ PosApp đang tuyển dụng những kỹ năng: Back-End, PHP, Laravel"
4,DAC DATA TECHNOLOGY - HANOI OFFICE tuyển dụng những kỹ năng nào ?,"DAC DATA TECHNOLOGY - HANOI OFFICE đang tuyển dụng những kỹ năng: Spring Boot, Spring, Java"
4,DATX Vietnam tuyển dụng những kỹ năng nào ?,"DATX Vietnam đang tuyển dụng những kỹ năng: JavaScript, Tester, MongoDB, NodeJS, Database, Front-End, MySQL, Back-End, Data Science, CSS3, HTML, React Native, ReactJS"
4,DICOM tuyển dụng những kỹ năng nào ?,"DICOM đang tuyển dụng những kỹ năng: C Language, Linux, VoIP, C++, Git"
4,DaouKiwoom Innovation tuyển dụng những kỹ năng nào ?,"DaouKiwoom Innovation đang tuyển dụng những kỹ năng: JavaScript, iOS, QC, Objective-C, Swift, Front-End, Mobile, Android, Manual Test, Automation Tester, ReactJS, Kotlin"
4,DatVietVAC Group Holdings tuyển dụng những kỹ năng nào ?,"DatVietVAC Group Holdings đang tuyển dụng những kỹ năng: .NET, Front-End, MySQL, Golang, HTML5, AngularJS, PHP, Python, MongoDB, elasticsearch, React, C#, UX, CSS3, ReactJS, Angular, NodeJS, Agile & Scrum, UI"
4,DataHouse Asia tuyển dụng những kỹ năng nào ?,"DataHouse Asia đang tuyển dụng những kỹ năng: ASP.NET, .NET, .NET Core"
4,DataStreams Asia tuyển dụng những kỹ năng nào ?,"DataStreams Asia đang tuyển dụng những kỹ năng: Manual Test, Tester, Videos Editor"
4,Devblock VN tuyển dụng những kỹ năng nào ?,"Devblock VN đang tuyển dụng những kỹ năng: .NET, Azure, C#, .NET Core, ASP.NET, ASP.NET Core"
4,DiCentral tuyển dụng những kỹ năng nào ?,"DiCentral đang tuyển dụng những kỹ năng: SQL, Data Analytics, Business Analyst, SEM, English"
4,DigiCommerce Group Inc tuyển dụng những kỹ năng nào ?,"DigiCommerce Group Inc đang tuyển dụng những kỹ năng: Spring, Java Core, Back-End, Web Developer, JavaEE, Manual Test, QC, QA"
4,ELPIS BATTLE tuyển dụng những kỹ năng nào ?,ELPIS BATTLE đang tuyển dụng những kỹ năng: Game Tester
